reviewId,templateId,profileId,puzzleId,boardHash,structureHash,optimalSwipes,usesLanes,reviewer,device,browser,playedAt,attemptCount,clearCount,bestTimeMs,bestSwipeCount,enjoyment,clarity,difficulty,distinctiveness,fairness,knownDeadlocks,notes,decision,decisionReason
review-b09c3-t11-df65906ef835,b09c3-t11,b09c3,cand-b09c3-t11-df65906ef835aa0b,sha256:df65906ef835aa0b2cb84c33ec2cf1714ab2f99ef08cea2641da64ae023f3212,sha256:8c6dafe6680e334154f625be2e2687c672630ebdb145d9d4f51261b56bca797b,21,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t00-b71ebaea8554,b10c4-t00,b10c4,cand-b10c4-t00-b71ebaea8554f01c,sha256:b71ebaea8554f01c3a66bdfd1d706e6c963429b20fc8bf6e7987f01f1f8ea17d,sha256:063c139066957e3d907e80afc0d217aa4ffbecc04b1488bc4ec527dbe18bd0e9,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t01-047986ba26f1,b10c4-t01,b10c4,cand-b10c4-t01-047986ba26f1da9b,sha256:047986ba26f1da9bf1d07e9ec423fef906a7bc476e4b4207accfab5163c12ba6,sha256:b6922439aaa98d87e3415f239793d1eb3fa2f29b9f9a4596d93da769d8a3760e,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t02-66e42c14f6a7,b10c4-t02,b10c4,cand-b10c4-t02-66e42c14f6a71691,sha256:66e42c14f6a7169171f2e44ba3db01186885889ef95fa9321b76f5ea075ef78f,sha256:4082449a0726a51ac1572b49890f61404441a7796ef4fb3c8020caea14b4f45f,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t03-cb78b95aef81,b10c4-t03,b10c4,cand-b10c4-t03-cb78b95aef810744,sha256:cb78b95aef8107443c5c4ad2e74d0e8f22849c4f875d5ce79ae584ec60f58e4c,sha256:3fb36ced3f7d80394ece75f95b125f36c70a3e58eafacc7ef8d793e91156c8c0,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t04-a0d085cec967,b10c4-t04,b10c4,cand-b10c4-t04-a0d085cec967cfa4,sha256:a0d085cec967cfa4e6987742e6059c92e357bdfb948af15fa90b29b5cf75d2fe,sha256:fbb55cd80bd73e4c943ab7a517e304078e726488f9a9fc9bb05365ed53e715df,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t05-4382f1191e88,b10c4-t05,b10c4,cand-b10c4-t05-4382f1191e887350,sha256:4382f1191e8873504cd8d7f62785898d39b3b8af5a38f2ab435516cd6fa55fc8,sha256:199e7d1fecd6a57bc843bc302dedcd35d7cf6a8c2f899433156909ff980726d1,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t06-22f65ac65294,b10c4-t06,b10c4,cand-b10c4-t06-22f65ac65294121b,sha256:22f65ac65294121bb3eb1000f4032cc9d4ad09caca3677feb943da7e31815d68,sha256:cb28fe8abdc517dc505310b1369f49df58ad4a9e8ed39af0e075f475662d0330,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t07-c7e981c22b3b,b10c4-t07,b10c4,cand-b10c4-t07-c7e981c22b3b201e,sha256:c7e981c22b3b201eac17dd1155a319d946ac9d8d10048a17719fbdab727769c0,sha256:a5c8f4a788408691269968b10697c18fac82f709d35b79764046fe46183854de,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t08-bf6283ba862d,b10c4-t08,b10c4,cand-b10c4-t08-bf6283ba862d9ee6,sha256:bf6283ba862d9ee6d73a93d7b0d2f4952be685687241e17a95729af1328a28c2,sha256:26dbd2b21e45c7b1144599047ce83fda32f7de098d8e288b867031e264fb7801,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t09-2206f2556c8e,b10c4-t09,b10c4,cand-b10c4-t09-2206f2556c8ee133,sha256:2206f2556c8ee133dfabb60e8b346840223ac71f9f4bd55ebfcb88d1d8d8cd16,sha256:8c8010ec6a15809893a4cdc7876c3bb09ee1492b8748789262bdb3c10fda415e,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t10-05471b7d81f1,b10c4-t10,b10c4,cand-b10c4-t10-05471b7d81f16731,sha256:05471b7d81f167318a754ce6495008ef09c5e7cf4726642a3686a3d3904e208d,sha256:1728ac6b383ec9e4dd929ca8918017602c16d0e3a66f8699537a34cb01c5d725,24,false,,,,,0,0,,,,,,,,,,pending,
review-b10c4-t11-5101f7cdf8b3,b10c4-t11,b10c4,cand-b10c4-t11-5101f7cdf8b39355,sha256:5101f7cdf8b3935544089c32302404801de26380757c1d1a32b3dd4a9c38ac16,sha256:55afccf8ed6dc286711859593192a8da983265a951dc7b117fd651f9c838e522,24,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t00-b6c4d47d85b4,b11c4-t00,b11c4,cand-b11c4-t00-b6c4d47d85b4e9a8,sha256:b6c4d47d85b4e9a81bf10025a1d170ce038bbaa34fd1b9219ef73a09816e3cb9,sha256:3f5a502c4bc08a6ce7d270401e6d2912d6a57bb51117690a86dd37c0437684dc,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t01-600ca5de05ee,b11c4-t01,b11c4,cand-b11c4-t01-600ca5de05ee1992,sha256:600ca5de05ee1992b0103cf652e7571c97b59eeafd5567e2d6d14ab2e243b20f,sha256:55d872a3782e5eea836ea39f291704f643d213eb87cd317b770cae2ebfbedebd,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t02-3b34456672e2,b11c4-t02,b11c4,cand-b11c4-t02-3b34456672e21af3,sha256:3b34456672e21af37fc1fef56584260fe15c5f2a854fd76a3af9e9d5b270b992,sha256:25c2417829c624161eb74182b340f027b02d85a22d7f538c9b6c98967db2629c,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t03-5695fb7ee9c3,b11c4-t03,b11c4,cand-b11c4-t03-5695fb7ee9c33174,sha256:5695fb7ee9c33174fba3b0341b4425e82f55cc9513d01a18f3cdd3dafb5e2932,sha256:f52fc91367b774f5da6faece644ed94edf0e67894a407566067cb123be2e9544,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t04-242a22738c9a,b11c4-t04,b11c4,cand-b11c4-t04-242a22738c9a68ef,sha256:242a22738c9a68effd0de6d6259660841b01457eb98825acd0dc403acdc3d939,sha256:a85814715b613dd253444d5430da73e67265a0fe134fee77ae63db9f71a68e92,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t05-6be8bc60ae5d,b11c4-t05,b11c4,cand-b11c4-t05-6be8bc60ae5db1ad,sha256:6be8bc60ae5db1ad84888efb9bf2e0666cf4c340cfb3aca203271bdfabf51ceb,sha256:acfdc3b56552c353ac037f7cbb25c5e5dc8e49b93afbf3231b5ad206337da53b,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t06-e5dfb96eb2c1,b11c4-t06,b11c4,cand-b11c4-t06-e5dfb96eb2c16fd4,sha256:e5dfb96eb2c16fd424720cbb731760d9f0d9c23e84adfa41017cfd939b19765b,sha256:cd54831580f0d8cf8b125afa061a0978035bfca19371dd1e3037020a792951c3,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t07-ba7cdf6f2f1f,b11c4-t07,b11c4,cand-b11c4-t07-ba7cdf6f2f1f932c,sha256:ba7cdf6f2f1f932c60f507037adb4e6ee4e11ee53a0e2791f79bcfc24ccb3fcb,sha256:01185725ef6c189fb130708ab1ef8787dcce50b4f4f5cdc5019bdbff4e441026,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t08-327bf39ecee8,b11c4-t08,b11c4,cand-b11c4-t08-327bf39ecee82328,sha256:327bf39ecee823289d71a69006ecb798bfca8a3f731ced0e0781fdda5fd3259d,sha256:61a97b2efe0815559b6f17cebca27355fce23516c0886bee800a9e0dc2e002ae,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t09-9c3e92b86ef1,b11c4-t09,b11c4,cand-b11c4-t09-9c3e92b86ef1c69c,sha256:9c3e92b86ef1c69c7ecf2b6b33ad62536905c225cac71fb2642ef7c719aeae40,sha256:a3681df30befb000f71a52523839675a4619a321c9d4595debdb0562ea5708e0,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t10-cdc6e63f58b0,b11c4-t10,b11c4,cand-b11c4-t10-cdc6e63f58b06a3c,sha256:cdc6e63f58b06a3ca9cda5dc8794f2392fe962fe4ee8fb681427516036ae6235,sha256:5586f52ff1eb71a8d366f2a7729959a6bd031726594165cd314eae864b03eea6,25,false,,,,,0,0,,,,,,,,,,pending,
review-b11c4-t11-659704759caf,b11c4-t11,b11c4,cand-b11c4-t11-659704759caf5f47,sha256:659704759caf5f476e176c6a762d8e8f6af6af40bc64df01d0c317f2d878c9f6,sha256:a533100ae15620e2e5d372fc4538f5470908f9a8f0813787afacda9ac986c705,25,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t00-8413e249b2fc,b12c5-t00,b12c5,cand-b12c5-t00-8413e249b2fc05f5,sha256:8413e249b2fc05f5e25f58a5a28d985c39d48eaab5258499f48cc8089f3607f9,sha256:8ce58e11de5c07a916140a56fc7e764fa89bc463c6d0c17a607bab2374524713,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t01-eb7352f97d1c,b12c5-t01,b12c5,cand-b12c5-t01-eb7352f97d1c8794,sha256:eb7352f97d1c8794208e7332ba46bb87d7196d12853ac934282ebf1a59f7927d,sha256:2b4db02985c07a3c6ddfe390cface2cd5a64f3b9216426285ed35d96e9c10d06,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t02-177706fdfd68,b12c5-t02,b12c5,cand-b12c5-t02-177706fdfd6844c0,sha256:177706fdfd6844c0714172f885d56b98e5f5d82094b8f093492934be03b7c37a,sha256:70cf5efe6ca51618ae265e994df14f213d6d181fcb153fc335aab2d3a99a58a6,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t03-f8cccec3fe23,b12c5-t03,b12c5,cand-b12c5-t03-f8cccec3fe236eaf,sha256:f8cccec3fe236eaf1f56b2ca4243d462fde57ea235a92c30cfe7045f4d95c4e5,sha256:7dec8fbfcaacc99847dfc46095ad55ef8271405df0cd83e2bf968b7f4d73fa90,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t04-554cfae9e414,b12c5-t04,b12c5,cand-b12c5-t04-554cfae9e4148d07,sha256:554cfae9e4148d0787097fe3648cf7a2f72915cbd7723b6919801aa5ea2fecbd,sha256:c50ea06da646bee9b14189a5f5be59c66cbf6cbd309110f29793bfc6e5a26155,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t05-cb0a1742afef,b12c5-t05,b12c5,cand-b12c5-t05-cb0a1742afef0c61,sha256:cb0a1742afef0c617b512001de67f874cf5fcdbb1c2ca56cd31ff55393500dcb,sha256:b62f5d8d437ed655f94d10235dad3433c255605dead1ddc24314569460189017,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t06-09e7c92f515e,b12c5-t06,b12c5,cand-b12c5-t06-09e7c92f515ed0fc,sha256:09e7c92f515ed0fcdde6b814eade1a21410b850533519db2d31296790c93346c,sha256:da20eb328b7acf1779d2340b311078b26c57de7ae0e910d568a549fa5fb24935,28,false,,,,,0,0,,,,,,,,,,pending,
review-b12c5-t07-4c6a39c1c141,b12c5-t07,b12c5,cand-b12c5-t07-4c6a39c1c1419747,sha256:4c6a39c1c141974743251802178a50c30333967eaa007fdf694b32629fca2ca2,sha256:4ce9ea21ea0d962abac0995633e097e4a4fc5e7452b2461894136d024b69b3a7,28,false,,,,,0,0,,,,,,,,,,pending,
review-b13c5-t00-98ec234ce61c,b13c5-t00,b13c5,cand-b13c5-t00-98ec234ce61c9947,sha256:98ec234ce61c9947cb5f92795cdc58a62e4a427895ba1e26f2101fb297f08180,sha256:ef098d04657c7174f59bb0459810beb23de8e6853f4adcd2fa6f288f0ef94652,29,false,,,,,0,0,,,,,,,,,,pending,
review-b13c5-t01-a97254e0b3c0,b13c5-t01,b13c5,cand-b13c5-t01-a97254e0b3c0dbef,sha256:a97254e0b3c0dbefb4850675ef8194064382b094a899c05c043d806364476738,sha256:570c1b12ad07ac3f6ed14f3673a4a6112d4761cb9a8c7cea6bf6950e52f18774,29,false,,,,,0,0,,,,,,,,,,pending,
review-b13c5-t02-896ec78071a7,b13c5-t02,b13c5,cand-b13c5-t02-896ec78071a76f36,sha256:896ec78071a76f36b080c4f3b5ae21ae61982b968f7dea8a843cf82eac3716fa,sha256:786b2a56e302323fc44d8e545e2727d4e56c5daf85c481c2ba730e55498ca425,29,false,,,,,0,0,,,,,,,,,,pending,
review-b13c5-t03-cb99ae353577,b13c5-t03,b13c5,cand-b13c5-t03-cb99ae3535771474,sha256:cb99ae353577147454a294f856df3173a791a1b7990c820bd5202b626be1e08f,sha256:71d91fdd9df0677646f56909a7538f71c0aaeb7cc910b83fa4f18ae51f05a2a1,29,false,,,,,0,0,,,,,,,,,,pending,
review-b13c5-t04-c5fd2f2edb85,b13c5-t04,b13c5,cand-b13c5-t04-c5fd2f2edb8508a0,sha256:c5fd2f2edb8508a0428b3e262a5c7d8552c3e21e6ff5f611e9e7c0f4830948d9,sha256:11f787f380f43b9eda412bc628f3e3db62f6d930604624d25853e57a03f39ca3,29,false,,,,,0,0,,,,,,,,,,pending,
review-b14c6-t00-de2b17c00a9c,b14c6-t00,b14c6,cand-b14c6-t00-de2b17c00a9cc791,sha256:de2b17c00a9cc7916d294a7facaa55114f51dd82a173dc7723f0687398b40c59,sha256:a592cead242e2b5efc2502a1a4e4aacc2931b40db7cea8f594f7dda3439aef23,28,true,,,,,0,0,,,,,,,,,,pending,
review-b14c6-t01-b767351cb423,b14c6-t01,b14c6,cand-b14c6-t01-b767351cb4237534,sha256:b767351cb42375340a376716246392bdacf392e02ec4697975a09c9e8fb649f5,sha256:8ec02d5d1851ed0fb14a37323e8e9b4ca450d26758bed5dad2a59aae9335f865,28,true,,,,,0,0,,,,,,,,,,pending,
review-b14c6-t02-28b9903570bb,b14c6-t02,b14c6,cand-b14c6-t02-28b9903570bb4eab,sha256:28b9903570bb4eabeabe5a4d081fa1a7730def65800f4f4cf1ffa21370b29059,sha256:ff7eb3320097b3305dccb7c88c63e4f042a3e6cfbdfc9760aa6201fda25b3771,28,true,,,,,0,0,,,,,,,,,,pending,
review-b14c6-t03-2f9c195b7e13,b14c6-t03,b14c6,cand-b14c6-t03-2f9c195b7e130041,sha256:2f9c195b7e130041f3265cfd5c47c8f0d6eaecf02262cc2662a9dc070e7d449b,sha256:f944e91913b6f7787f9afa147c0273f796ad789d021e3afbf4d81909e21ba196,28,true,,,,,0,0,,,,,,,,,,pending,
review-b14c6-t04-76d18f832423,b14c6-t04,b14c6,cand-b14c6-t04-76d18f83242335c7,sha256:76d18f83242335c761cbcbc3c27143b62f18215c8e98b53f142d8acdeee0894c,sha256:d3941775b7e6ad687a15a8809919f673664086997fba2a6d45f4c578a552822a,28,true,,,,,0,0,,,,,,,,,,pending,
